country,day,flag_tsunami,id,location_name,month,region_code,Regions,state,year,Damage ($ Millions),damage_description,deaths_description,eq_mag_mb,eq_mag_mfa,eq_mag_ml,eq_mag_ms,eq_mag_mw,eq_mag_unk,focal_depth,hour,houses_damaged,houses_damaged_description,houses_destroyed_description,injuries_description,Intensity,latitude,longitude,Magnitude,minute,missing_description,Number of deaths,Number of Houses Destroyed,Number of Injuries,Number of Missing Persons,second,total_damage_description,total_damage_millions_dollars,total_deaths,total_deaths_description,total_houses_damaged,total_houses_damaged_description,total_houses_destroyed,total_houses_destroyed_description,total_injuries,total_injuries_description,total_missing,total_missing_description
USA,8,N,4901,CALIFORNIA:  NORTH COAST,11,North America and Hawaii,North America and Hawaii,CA,1980,2.75,2,1,6.2,0,0,7.2,0,0,19,10,0,0,0,0,7,41.117,-124.253,7.2,27,0,5,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
USA,17,Y,6468,ALASKA:  ANDREANOF ISLANDS,5,North America and Hawaii,North America and Hawaii,AK,1986,0,0,0,5.8,0,0,6.6,6.4,0,26,16,0,0,0,0,0,52.327,-174.504,6.4,20,0,0,0,0,0,22.2,0,0,0,0,0,0,0,0,0,0,0,0
USA,17,Y,6472,ALASKA:  GULF OF ALASKA,11,North America and Hawaii,North America and Hawaii,AK,1987,0,0,0,6.6,0,0,6.9,7.2,0,10,8,0,0,0,0,0,58.586,-143.27,7.2,46,0,0,0,0,0,53.3,0,0,0,0,0,0,0,0,0,0,0,0
USA,4,Y,6475,ALASKA,9,North America and Hawaii,North America and Hawaii,AK,1989,0,0,0,6.5,0,6.9,6.9,0,0,11,13,0,0,0,0,0,55.543,-156.835,6.9,14,0,0,0,0,0,58.2,0,0,0,0,0,0,0,0,0,0,0,0
USA,25,N,5351,WASHINGTON-OREGON BORDER,3,North America and Hawaii,North America and Hawaii,WA,1993,28.4,4,0,5.5,0,0,5.4,5.6,0,21,13,0,0,0,0,7,45.035,-122.607,5.6,34,0,0,0,0,0,35.4,0,0,0,0,0,0,0,0,0,0,0,0
USA,21,N,5363,OREGON:  KLAMATH FALLS,9,North America and Hawaii,North America and Hawaii,OR,1993,7.5,3,1,5.7,0,0,5.8,6,0,11,3,0,0,0,0,7,42.314,-122.012,6,28,0,2,0,0,0,55.4,0,0,0,0,0,0,0,0,0,0,0,0
USA,10,Y,5440,ALASKA:  ANDREANOF ISLANDS,6,North America and Hawaii,North America and Hawaii,AK,1996,0,0,0,6.6,0,0,7.6,7.9,0,33,4,0,0,0,0,6,51.564,-177.632,7.9,3,0,0,0,0,0,35.4,0,0,0,0,0,0,0,0,0,0,0,0
USA,10,Y,6498,ALASKA:  ANDREANOF ISLANDS,6,North America and Hawaii,North America and Hawaii,AK,1996,0,0,0,5.9,0,0,7.1,7.3,0,24,15,0,0,0,0,0,51.478,-176.847,7.3,24,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
USA,17,Y,5735,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,11,North America and Hawaii,North America and Hawaii,AK,2003,0,0,0,6.2,0,0,7.2,7.8,0,33,6,0,0,0,0,0,51.146,178.65,7.8,43,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0
USA,15,Y,6738,CALIFORNIA:  OFF COAST NORTHERN,6,North America and Hawaii,North America and Hawaii,CA,2005,0,0,0,6.2,0,0,7.1,7.2,0,10,2,0,0,0,0,4,41.301,-125.97,7.2,50,0,0,0,0,0,53.1,0,0,0,0,0,0,0,0,0,0,0,0
USA,2,Y,7532,ALASKA:  ALEUTIAN ISLANDS,8,North America and Hawaii,North America and Hawaii,AK,2007,0,0,0,6.3,0,0,6.6,6.7,0,21,3,0,0,0,0,0,51.307,-179.971,6.7,21,0,0,0,0,0,42.8,0,0,0,0,0,0,0,0,0,0,0,0
USA,6,N,7601,UTAH:  HUNTINGTON,8,North America and Hawaii,North America and Hawaii,UT,2007,0,0,1,4.2,0,3.9,0,0,0,2,8,0,0,0,1,0,39.465,-111.237,4.2,48,0,9,0,0,0,40,0,0,9,1,0,0,0,0,0,1,0,0
USA,17,N,7614,UTAH,8,North America and Hawaii,North America and Hawaii,UT,2007,0,0,1,0,0,1.6,0,0,0,0,0,0,0,0,1,0,39.464,-111.207,1.6,38,0,3,0,6,0,56,0,0,3,1,0,0,0,0,6,1,0,0
USA,24,Y,9824,ALASKA: ALEUTIAN ISLANDS: FOX ISLANDS,6,North America and Hawaii,North America and Hawaii,AK,2011,0,0,0,6.9,0,6.7,0,7.3,0,52,3,0,0,0,0,0,52.05,-171.836,7.3,9,0,0,0,0,0,39.4,0,0,0,0,0,0,0,0,0,0,0,0
